char,regime,T_C,yO2,o2_label,src,time_window,status,k_iso_1_per_min,iso_r2,n_points,T_mean_K,err,k_CR_pred_1_per_min,k_isoGlobal_pred_1_per_min,CR/ISO_ratio,ISOglob/ISO_ratio,CR/ISOglob_ratio,CR_vs_ISO_error_%,ISOglob_vs_ISO_error_%,CR_vs_ISOglob_diff_%
WS,isothermal_225,225.0,0.05,5%,TG TEST 9 - ISOTHERMAL 225C 5% O2/ExpDat_WS500.xlsx,"(96.0, 326.3)",OK,0.00012172645762224542,0.9952527698670739,459,498.15463006535947,,2.9403421124659914e-05,5.213251943825992e-05,0.24155324733023745,0.42827599238978215,0.5640130467794123,-75.84467526697625,-57.17240076102179,-43.59869532205877
WS,isothermal_225,225.0,0.1,10%,TG TEST 10 - ISOTHERMAL 225C 10% O2/ExpDat_WS500.xlsx,"(95.5, 326.3)",OK,8.232238209043538e-05,0.9964469632443652,460,498.154597173913,,4.1365952781226285e-05,7.536151327267892e-05,0.5024873154883158,0.9154437876917897,0.5489002407840825,-49.751268451168414,-8.45562123082103,-45.10997592159175
WS,isothermal_225,225.0,0.2,20%,TG TEST 4 - ISOTHERMAL 225C 20% O2/ExpDat_WS.xlsx,"(94.0, 326.3)",OK,0.00016090674291079803,0.9953167117755662,463,498.15490809935204,,5.819650756069964e-05,0.00010894078674778367,0.36167848847056755,0.6770430174463058,0.5342031143527024,-63.832151152943254,-32.29569825536942,-46.57968856472976
WS,isothermal_250,250.0,0.05,5%,TG TEST 12 - ISOTHERMAL 250C 5% O2/ExpDat_WS500.xlsx,"(120.0, 331.3)",OK,9.587535619139642e-05,0.9943591853983937,421,523.1551903800475,,0.0001181389374838119,5.213251943825992e-05,1.2322138052657723,0.5437530717923752,2.266127529549436,23.221380526577228,-45.62469282076248,126.61275295494359
WS,isothermal_250,250.0,0.1,10%,TG TEST 11 - ISOTHERMAL 250C 10% o2/ExpDat_WS500.xlsx,"(175.0, 331.3)",OK,4.984005628925589e-05,0.9660066437482017,311,523.1557178456592,,0.00016620772196508703,7.536151327267892e-05,3.3348221157791254,1.5120671781609671,2.205472193262644,233.48221157791252,51.20671781609671,120.5472193262644
WS,isothermal_250,250.0,0.2,20%,TG TEST 3 - ISOTHERMAL 250C 20% O2/ExpDat_WS500.xlsx,"(98.0, 689.8)",OK,0.000316724204364279,0.9949741707702554,1182,523.1550652453469,,0.00023382028555429422,0.00010894078674778367,0.7382457113551284,0.34396104006779943,2.1463061956366047,-26.17542886448716,-65.60389599322005,114.63061956366047
